task_name,priority,category,deadline_gap,estimated_time,actual_time,status,completion_rate,created_at
Review quarterly report,Low,Work,14,2.3,3.16,Completed,1.37,2025-10-23 06:54:24
Conduct code review,Low,Work,28,0.5,0.74,Completed,1.48,2026-04-14 12:59:14
Plan weekly schedule,Low,Personal,14,2.16,3.68,Completed,1.7,2026-03-15 10:30:45
Review pull request,Medium,Work,14,6.19,8.19,Completed,1.32,2026-03-18 03:33:16
Gym session,Low,Health,26,1.61,3.47,Completed,2.0,2026-02-23 04:57:54
Review insurance documents,Low,Personal,8,0.5,0.82,Completed,1.64,2025-12-20 20:06:33
File expense reports,Low,Personal,8,2.01,1.79,Completed,0.89,2025-10-27 11:26:35
Prepare sales forecast,Low,Work,11,1.18,1.5,Completed,1.27,2025-11-05 01:56:04
Update CRM records,Medium,Work,5,3.85,3.93,Completed,1.02,2025-11-17 06:05:34
Prepare client proposal,High,Work,1,13.43,10.07,Completed,0.75,2026-01-29 23:08:07
Update project timeline,Low,Work,19,3.52,3.26,Completed,0.93,2026-03-31 10:52:17
Learn new framework,Low,Study,21,1.41,1.78,Completed,1.26,2026-02-13 18:56:41
Read documentation,Low,Study,23,0.77,1.22,Completed,1.58,2026-03-28 11:19:41
Update contact list,Low,Personal,25,4.82,6.69,Completed,1.39,2026-01-12 22:31:37
Update personal budget,High,Personal,7,1.72,1.98,Completed,1.15,2025-11-07 11:06:22
Attend stakeholder meeting,Low,Work,20,2.26,2.57,Completed,1.14,2026-01-06 20:43:12
Conduct code review,Low,Work,24,2.35,3.97,Completed,1.69,2026-01-29 14:06:40
Review insurance documents,High,Personal,1,3.07,3.07,Completed,1.0,2025-11-01 17:41:28
Attend stakeholder meeting,High,Work,6,1.19,1.35,Completed,1.13,2026-01-04 16:51:58
Plan weekly schedule,Medium,Personal,6,0.5,0.8,Completed,1.6,2025-11-19 10:41:01
Write research summary,High,Study,3,0.94,1.07,Completed,1.14,2026-01-12 21:45:39
Review insurance documents,High,Personal,7,0.5,0.45,Completed,0.9,2025-11-06 20:39:36
Write API documentation,High,Work,4,0.71,0.8,Completed,1.13,2026-01-20 13:14:56
Prepare healthy lunch,High,Health,1,2.63,2.96,Completed,1.13,2026-03-29 17:51:02
Review technical whitepaper,Low,Study,29,12.88,15.22,Completed,1.18,2026-02-20 16:08:45
Update CRM records,High,Work,4,38.05,50.32,Completed,1.32,2025-11-19 03:49:03
Organize workspace,High,Personal,6,2.37,2.89,Completed,1.22,2026-01-22 19:15:02
Write API documentation,High,Work,3,1.76,1.54,Completed,0.88,2026-03-21 05:33:43
Practice coding problems,Low,Study,19,0.5,0.73,Completed,1.46,2026-03-22 14:47:43
Meal prep,Low,Health,10,0.85,1.24,Completed,1.46,2025-11-01 17:16:56
Deploy to staging,Low,Work,17,3.38,5.25,Completed,1.55,2026-02-07 02:30:24
Conduct code review,High,Work,3,2.72,3.03,Completed,1.11,2026-03-28 21:24:31
Conduct code review,High,Work,2,0.5,0.55,Completed,1.1,2025-12-26 03:55:35
Schedule team outing,High,Personal,7,0.5,0.67,Completed,1.34,2026-01-23 13:34:14
Conduct code review,Medium,Work,6,4.15,5.52,Completed,1.33,2026-04-13 20:50:24
Update personal budget,High,Personal,1,3.32,2.65,Completed,0.8,2026-01-19 08:28:25
Review technical whitepaper,High,Study,2,2.35,2.12,Completed,0.9,2026-02-17 12:52:08
Attend stakeholder meeting,High,Work,7,1.46,1.54,Completed,1.05,2025-11-07 08:14:38
Conduct code review,High,Work,7,2.54,2.88,Completed,1.13,2026-03-02 19:51:06
File expense reports,High,Personal,1,3.57,3.6,Completed,1.01,2026-03-28 08:43:17
Conduct team standup,High,Work,2,2.85,3.2,Completed,1.12,2026-03-25 19:20:25
Review insurance documents,High,Personal,2,0.5,0.48,Completed,0.96,2026-03-24 06:58:42
Optimize database query,High,Work,4,1.56,1.98,Completed,1.27,2026-02-05 18:07:46
Clean inbox,Low,Personal,10,3.41,3.04,Completed,0.89,2026-03-07 05:56:23
Complete online course module,High,Study,2,0.6,0.84,Completed,1.4,2025-12-17 18:06:23
Optimize database query,High,Work,5,0.98,1.03,Completed,1.05,2025-10-19 11:25:30
Review insurance documents,High,Personal,5,1.55,1.88,Completed,1.21,2026-01-27 00:29:53
Organize workspace,Medium,Personal,12,2.1,2.78,Completed,1.32,2026-02-21 03:03:36
Write test cases,High,Work,3,4.45,5.38,Completed,1.21,2026-04-07 01:04:33
Read documentation,Low,Study,11,6.93,10.18,Completed,1.47,2026-04-13 09:38:31
Review technical whitepaper,Low,Study,30,1.66,1.68,Completed,1.01,2026-02-12 08:07:50
Organize digital files,Medium,Personal,10,3.75,4.43,Completed,1.18,2026-02-18 07:12:02
Complete online course module,High,Study,6,1.36,1.43,Completed,1.05,2026-01-07 01:30:41
Conduct code review,High,Work,2,2.28,2.3,Completed,1.01,2026-01-17 03:31:47
Draft email campaign,High,Work,1,0.73,0.89,Completed,1.22,2026-03-01 05:51:16
Create sprint backlog,High,Work,2,2.48,2.53,Completed,1.02,2025-10-19 23:12:26
Yoga practice,High,Health,2,3.66,4.2,Completed,1.15,2026-02-20 07:08:49
Conduct team standup,High,Work,3,0.5,0.58,Completed,1.16,2026-02-28 10:54:35
Practice coding problems,Low,Study,30,0.77,1.12,Completed,1.45,2026-03-24 05:23:43
Update personal budget,Low,Personal,14,1.28,1.7,Completed,1.33,2026-03-09 05:26:12
Conduct team standup,Low,Work,7,0.5,0.82,Completed,1.64,2026-04-08 21:57:31
File expense reports,Medium,Personal,7,0.5,0.46,Completed,0.92,2025-12-08 22:04:50
Deploy to staging,Medium,Work,11,1.43,2.29,Completed,1.6,2025-11-16 22:44:39
File expense reports,Medium,Personal,5,0.5,0.69,Completed,1.38,2025-12-04 07:08:33
Update contact list,Low,Personal,7,2.51,3.98,Completed,1.59,2025-12-16 12:44:31
Conduct team standup,Low,Work,9,0.5,0.46,Completed,0.92,2026-02-24 13:31:36
Write research summary,Low,Study,9,0.5,0.6,Completed,1.2,2026-01-06 16:09:02
Gym session,Low,Health,16,3.51,3.18,Completed,0.91,2025-12-16 18:42:08
Review technical whitepaper,Low,Study,24,2.79,2.7,Completed,0.97,2026-03-04 00:21:39
Attend stakeholder meeting,Low,Work,8,1.9,2.94,Completed,1.55,2025-12-17 04:34:02
Review technical whitepaper,Medium,Study,4,2.45,3.04,Completed,1.24,2025-10-28 15:02:46
Prepare client proposal,High,Work,4,0.69,0.83,Completed,1.2,2026-02-24 09:17:02
Meal prep,High,Health,1,1.67,1.85,Completed,1.11,2025-12-18 14:24:04
Prepare sales forecast,High,Work,2,3.65,4.38,Completed,1.2,2026-02-10 01:30:52
Meditation session,High,Health,2,0.5,0.54,Completed,1.08,2025-12-31 00:18:47
Prepare presentation slides,High,Study,6,0.96,1.07,Completed,1.11,2026-02-11 06:56:58
Optimize database query,High,Work,3,4.86,5.62,Completed,1.16,2025-12-01 18:50:50
Prepare client proposal,Medium,Work,4,0.5,0.53,Completed,1.06,2026-02-16 04:13:22
Review technical whitepaper,Medium,Study,6,0.5,0.56,Completed,1.12,2026-02-26 05:08:17
Create sprint backlog,Medium,Work,6,0.5,0.49,Completed,0.98,2025-11-11 09:59:43
Create sprint backlog,Low,Work,11,0.5,0.72,Completed,1.44,2025-10-18 05:14:35
Write API documentation,Low,Work,23,1.12,1.57,Completed,1.4,2025-12-09 06:01:09
Plan commute route,Low,Personal,16,0.96,0.78,Completed,0.81,2026-01-30 09:58:04
Clean inbox,Low,Personal,15,1.73,3.41,Completed,1.97,2026-01-17 13:38:55
Update CRM records,Low,Work,30,1.57,1.81,Completed,1.15,2025-12-30 19:44:10
Update project timeline,Low,Work,30,0.5,0.49,Completed,0.98,2026-01-24 09:10:56
Debug production issue,Low,Work,16,3.06,5.13,Completed,1.68,2025-12-11 23:49:21
Conduct code review,Low,Work,19,2.77,4.38,Completed,1.58,2025-11-12 17:22:45
Deploy to staging,High,Work,4,1.93,2.27,Completed,1.18,2025-11-26 10:38:23
Write test cases,High,Work,5,0.5,0.56,Completed,1.12,2025-11-18 11:02:17
Stretching routine,High,Health,6,0.5,0.55,Completed,1.1,2026-03-23 11:41:48
Analyze dataset,Medium,Study,7,6.8,11.01,Completed,1.62,2026-03-30 14:06:46
Update contact list,Low,Personal,20,3.08,4.52,Completed,1.47,2026-04-05 10:22:22
Track daily nutrients,Medium,Health,6,5.55,7.71,Completed,1.39,2026-02-11 11:34:10
Attend stakeholder meeting,Low,Work,19,6.26,9.43,Completed,1.51,2025-10-26 11:46:40
Write API documentation,Low,Work,23,2.97,2.73,Completed,0.92,2025-10-18 16:05:59
Attend stakeholder meeting,High,Work,5,0.5,0.55,Completed,1.1,2025-12-09 23:46:27
Write API documentation,High,Work,4,0.5,0.64,Completed,1.28,2025-12-10 03:30:58
Evening run,High,Health,5,3.48,3.6,Completed,1.03,2026-02-24 07:15:20
Analyze user metrics,High,Work,4,1.1,1.2,Completed,1.09,2026-02-09 04:07:34
Review quarterly report,Low,Work,21,6.62,8.9,Completed,1.34,2026-01-05 03:07:20
Morning workout,High,Health,7,61.32,65.86,Completed,1.07,2026-04-05 03:39:10
Morning workout,Medium,Health,12,3.05,4.0,Completed,1.31,2025-11-03 07:07:57
Gym session,High,Health,1,0.5,0.65,Completed,1.3,2025-10-22 21:37:58
Read documentation,High,Study,5,0.5,0.54,Completed,1.08,2026-03-21 09:09:54
Complete online course module,High,Study,4,2.13,2.11,Completed,0.99,2025-12-22 04:13:38
Set up CI pipeline,Low,Work,20,2.54,3.79,Completed,1.49,2026-03-08 03:13:37
Process invoices,Low,Work,9,0.79,1.01,Completed,1.28,2026-03-08 03:34:47
Conduct team standup,High,Work,6,43.03,43.77,Completed,1.02,2025-12-31 10:13:56
Debug production issue,High,Work,5,4.21,4.15,Completed,0.99,2025-11-26 11:36:28
Conduct code review,High,Work,3,2.27,2.36,Completed,1.04,2026-04-08 03:27:55
Schedule team outing,High,Personal,5,0.5,0.56,Completed,1.12,2025-10-21 09:53:12
Schedule team outing,Low,Personal,15,5.23,8.48,Completed,1.62,2026-03-14 06:22:06
Evening run,Low,Health,20,4.39,10.23,Completed,2.0,2026-04-02 04:18:03
Analyze dataset,Low,Study,14,2.43,2.6,Completed,1.07,2025-12-23 10:12:32
Deploy to staging,Low,Work,30,5.32,6.42,Completed,1.21,2026-04-10 19:04:30
Draft email campaign,High,Work,1,4.17,3.78,Completed,0.91,2026-03-28 05:46:22
Analyze dataset,High,Study,3,6.34,7.79,Completed,1.23,2025-11-10 22:36:04
Update project timeline,High,Work,3,0.5,0.5,Completed,1.0,2026-04-03 05:09:03
Organize digital files,Low,Personal,17,2.18,3.73,Completed,1.71,2026-01-08 20:49:54
Learn new framework,Low,Study,16,0.5,0.77,Completed,1.54,2026-03-20 02:43:21
Optimize database query,High,Work,7,11.65,12.66,Completed,1.09,2026-01-26 05:47:19
Prepare presentation slides,High,Study,7,2.62,2.67,Completed,1.02,2026-04-02 16:19:16
Write research summary,Medium,Study,6,0.5,0.62,Completed,1.24,2026-01-25 05:46:28
Prepare client proposal,High,Work,1,0.5,0.6,Completed,1.2,2026-03-31 20:59:30
Prepare presentation slides,High,Study,5,1.12,1.1,Completed,0.98,2026-02-11 12:14:00
Write API documentation,High,Work,5,1.29,1.45,Completed,1.12,2025-10-18 02:08:07
Write research summary,High,Study,5,6.68,6.16,Completed,0.92,2025-11-15 10:03:35
Analyze dataset,High,Study,4,1.34,1.68,Completed,1.25,2025-12-24 19:24:07
Clean inbox,High,Personal,1,0.73,0.83,Completed,1.14,2025-12-31 23:53:44
Set up CI pipeline,High,Work,6,1.46,1.34,Completed,0.92,2025-11-28 15:54:18
Conduct code review,High,Work,2,6.33,6.52,Completed,1.03,2025-12-06 22:07:24
Optimize database query,Low,Work,19,6.09,9.56,Completed,1.57,2025-12-01 23:07:04
Optimize database query,High,Work,2,12.33,14.69,Completed,1.19,2025-12-28 18:57:54
Update project timeline,Low,Work,22,2.21,1.78,Completed,0.81,2026-01-12 21:07:02
Read documentation,Low,Study,21,1.35,1.47,Completed,1.09,2025-12-11 03:36:16
Update personal budget,Low,Personal,20,1.7,1.43,Completed,0.84,2026-02-25 21:39:25
Analyze user metrics,High,Work,4,2.82,3.78,Completed,1.34,2026-01-30 07:06:03
Conduct code review,Low,Work,24,2.6,4.54,Completed,1.75,2026-01-20 15:01:34
Write research summary,High,Study,4,0.62,0.62,Completed,1.0,2026-02-13 21:03:34
Create sprint backlog,Low,Work,14,0.5,0.76,Completed,1.52,2026-03-29 18:27:33
Schedule team outing,Low,Personal,25,1.19,1.51,Completed,1.27,2026-03-31 13:00:43
Review quarterly report,Low,Work,15,2.79,4.02,Completed,1.44,2026-03-13 01:19:41
Evening run,High,Health,4,1.06,1.06,Completed,1.0,2026-02-03 01:27:51
Draft email campaign,High,Work,1,8.1,10.18,Completed,1.26,2026-01-07 14:09:24
Write test cases,Low,Work,21,38.39,75.39,Completed,1.96,2025-11-25 13:45:21
Write API documentation,Medium,Work,6,4.49,5.88,Completed,1.31,2025-10-29 07:47:17
Organize workspace,High,Personal,6,0.78,0.7,Completed,0.9,2026-02-05 15:55:32
Write research summary,Low,Study,20,0.5,0.78,Completed,1.56,2026-01-03 03:47:47
Create sprint backlog,Low,Work,14,3.8,5.5,Completed,1.45,2026-03-07 01:23:21
Set up CI pipeline,Low,Work,17,2.81,3.41,Completed,1.21,2025-12-27 18:08:25
Review pull request,Low,Work,13,6.22,9.88,Completed,1.59,2026-01-05 17:15:56
Review quarterly report,Low,Work,28,5.61,6.48,Completed,1.16,2026-04-03 02:48:17
Prepare healthy lunch,Low,Health,7,2.47,3.45,Completed,1.4,2026-03-09 21:00:56
Create sprint backlog,High,Work,7,0.5,0.37,Completed,0.74,2026-02-08 08:53:08
Gym session,Low,Health,20,0.5,0.64,Completed,1.28,2025-11-02 01:35:24
Update contact list,Low,Personal,23,55.0,74.25,Completed,1.35,2026-02-09 15:54:02
Plan weekly schedule,Medium,Personal,4,2.9,3.97,Completed,1.37,2026-02-01 03:04:30
Write API documentation,Medium,Work,11,0.5,0.44,Completed,0.88,2026-03-12 05:00:05
Evening run,Medium,Health,7,2.72,3.65,Completed,1.34,2026-01-08 14:05:12
Analyze user metrics,High,Work,4,2.0,2.34,Completed,1.17,2026-01-08 07:51:54
Evening run,High,Health,7,0.69,0.73,Completed,1.06,2026-01-25 00:59:14
Prepare sales forecast,Low,Work,21,0.5,0.78,Completed,1.56,2026-01-05 17:13:23
Refactor authentication module,High,Work,7,0.5,0.61,Completed,1.22,2026-02-01 02:48:08
Track daily nutrients,High,Health,1,1.69,1.85,Completed,1.09,2026-03-05 01:13:01
Prepare sales forecast,High,Work,5,3.95,3.54,Completed,0.9,2025-12-29 14:16:30
Deploy to staging,High,Work,1,0.5,0.53,Completed,1.06,2026-03-06 06:38:36
Review quarterly report,High,Work,2,0.5,0.54,Completed,1.08,2026-03-08 13:00:38
Set up CI pipeline,High,Work,4,2.6,3.08,Completed,1.18,2026-04-12 03:49:25
Optimize database query,Medium,Work,10,6.34,7.68,Completed,1.21,2026-02-15 19:02:18
Complete online course module,High,Study,2,0.5,0.56,Completed,1.12,2025-12-05 23:48:33
Refactor authentication module,High,Work,5,3.47,4.32,Completed,1.24,2025-12-29 19:43:26
Optimize database query,High,Work,4,1.94,1.99,Completed,1.03,2025-11-28 04:38:12
Organize digital files,Low,Personal,15,2.93,2.08,Completed,0.71,2026-03-09 04:05:52
Analyze dataset,Low,Study,15,1.43,2.15,Completed,1.5,2025-12-14 21:30:39
Practice coding problems,Low,Study,7,2.92,4.48,Completed,1.53,2025-12-20 08:22:58
Update personal budget,Low,Personal,7,2.19,2.7,Completed,1.23,2026-04-13 17:21:59
Clean inbox,Low,Personal,22,2.55,2.46,Completed,0.96,2026-03-29 13:45:40
Set up CI pipeline,Low,Work,28,0.5,0.66,Completed,1.32,2026-01-06 02:35:43
Draft email campaign,Low,Work,22,4.55,3.01,Completed,0.66,2025-12-15 12:29:22
Prepare client proposal,High,Work,3,5.1,6.2,Completed,1.22,2026-01-23 22:42:24
Schedule team outing,Medium,Personal,11,0.95,1.7,Completed,1.79,2025-11-24 18:31:40
Attend stakeholder meeting,High,Work,4,0.5,0.52,Completed,1.04,2026-01-29 13:59:33
Learn new framework,High,Study,5,0.5,0.54,Completed,1.08,2026-03-17 10:34:18
Conduct team standup,Low,Work,29,1.14,0.92,Completed,0.81,2026-01-20 17:42:11
Update contact list,Low,Personal,26,0.81,1.03,Completed,1.27,2025-10-29 00:45:18
Complete online course module,Low,Study,29,3.47,7.19,Completed,2.0,2026-04-13 18:59:48
Attend stakeholder meeting,Low,Work,19,5.09,5.24,Completed,1.03,2025-12-26 21:23:49
Evening run,Low,Health,10,1.58,1.97,Completed,1.25,2026-01-15 06:04:39
Process invoices,Low,Work,13,5.3,6.58,Completed,1.24,2025-11-26 16:50:43
Stretching routine,High,Health,3,1.44,1.48,Completed,1.03,2026-03-14 19:07:06
Study research paper,Low,Study,8,2.34,3.61,Completed,1.54,2025-11-24 20:46:37
Practice coding problems,Medium,Study,9,0.9,1.23,Completed,1.37,2025-12-07 02:33:15
Create sprint backlog,Low,Work,12,0.5,0.67,Completed,1.34,2026-04-13 09:55:42
Prepare sales forecast,Low,Work,18,2.14,2.16,Completed,1.01,2026-01-15 18:10:11
Update contact list,Low,Personal,8,0.5,0.32,Completed,0.64,2026-03-09 14:41:30
Track daily nutrients,Low,Health,23,5.88,6.16,Completed,1.05,2025-11-16 20:07:01
Prepare client proposal,Low,Work,9,1.5,2.27,Completed,1.51,2025-12-14 05:09:22
Schedule team outing,High,Personal,1,3.4,3.66,Completed,1.08,2026-04-07 04:27:08
Plan weekly schedule,Low,Personal,8,0.5,0.68,Completed,1.36,2025-12-19 01:41:14
Create sprint backlog,Low,Work,16,6.96,8.63,Completed,1.24,2025-10-19 18:48:55
Conduct team standup,High,Work,6,0.5,0.43,Completed,0.86,2026-04-09 07:56:48
Set up CI pipeline,High,Work,6,0.5,0.61,Completed,1.22,2025-12-26 19:19:50
Schedule team outing,High,Personal,7,0.5,0.5,Completed,1.0,2025-12-18 21:12:29
Set up CI pipeline,Medium,Work,14,57.33,70.01,Completed,1.22,2025-12-02 21:15:45
Plan weekly schedule,Low,Personal,16,3.18,3.83,Completed,1.2,2026-03-18 20:25:48
Prepare sales forecast,High,Work,5,3.53,4.7,Completed,1.33,2025-11-05 21:00:28
Conduct code review,High,Work,7,0.5,0.57,Completed,1.14,2025-12-08 14:50:05
Prepare client proposal,Medium,Work,13,0.73,0.83,Completed,1.14,2026-02-14 19:39:08
Evening run,High,Health,1,1.39,1.48,Completed,1.06,2025-11-07 02:39:08
Evening run,High,Health,6,1.27,1.53,Completed,1.2,2026-02-28 18:43:18
Plan commute route,Low,Personal,30,1.37,1.47,Completed,1.07,2026-02-18 09:03:04
Conduct team standup,Low,Work,11,1.33,1.06,Completed,0.8,2026-01-04 08:05:02
Review pull request,Low,Work,23,0.99,1.97,Completed,1.99,2025-11-16 07:06:08
Schedule team outing,Low,Personal,22,2.03,1.79,Completed,0.88,2026-02-18 16:27:12
Conduct code review,High,Work,4,2.24,2.43,Completed,1.08,2026-02-05 04:17:59
Learn new framework,High,Study,1,1.47,1.93,Completed,1.31,2025-11-24 09:00:31
Plan weekly schedule,High,Personal,7,2.63,2.68,Completed,1.02,2026-03-11 14:27:33
Review pull request,High,Work,2,1.17,1.2,Completed,1.03,2026-02-23 08:21:29
Write research summary,Low,Study,27,6.46,7.7,Completed,1.19,2026-01-21 09:09:46
Update project timeline,Low,Work,21,0.55,0.71,Completed,1.29,2026-03-03 09:20:41
Analyze user metrics,High,Work,6,0.5,0.71,Completed,1.42,2026-04-13 01:15:55
Analyze dataset,High,Study,5,0.5,0.54,Completed,1.08,2026-03-09 12:24:38
Analyze user metrics,High,Work,5,5.9,6.23,Completed,1.06,2025-11-10 11:59:56
Attend stakeholder meeting,High,Work,3,1.38,1.61,Completed,1.17,2025-11-22 23:03:05
Stretching routine,High,Health,3,4.1,4.98,Completed,1.21,2026-04-07 13:26:52
Yoga practice,High,Health,6,3.16,2.98,Completed,0.94,2026-04-13 04:20:03
Review insurance documents,High,Personal,1,1.42,1.6,Completed,1.13,2025-10-26 07:39:33
Review quarterly report,High,Work,3,1.47,1.92,Completed,1.31,2026-01-07 01:22:51
File expense reports,High,Personal,4,0.5,0.52,Completed,1.04,2026-01-13 09:31:22
Track daily nutrients,High,Health,5,1.49,1.24,Completed,0.83,2025-10-25 21:07:41
Plan commute route,High,Personal,6,0.5,0.54,Completed,1.08,2026-03-08 06:52:07
Read documentation,High,Study,4,0.5,0.63,Completed,1.26,2025-11-26 10:48:15
Write test cases,High,Work,3,0.5,0.54,Completed,1.08,2026-01-09 13:31:40
Organize digital files,High,Personal,5,1.58,2.06,Completed,1.3,2026-01-28 20:53:44
Refactor authentication module,High,Work,6,3.48,4.32,Completed,1.24,2025-12-24 06:53:46
Conduct code review,High,Work,5,2.66,2.98,Completed,1.12,2026-03-27 21:08:50
Update project timeline,High,Work,6,0.5,0.44,Completed,0.88,2026-01-06 16:54:20
Update contact list,Medium,Personal,5,1.23,1.31,Completed,1.07,2025-10-22 06:18:55
Meal prep,Medium,Health,14,2.45,3.4,Completed,1.39,2026-02-02 18:11:38
Prepare sales forecast,Medium,Work,10,0.8,0.73,Completed,0.91,2025-12-10 14:20:24
Review technical whitepaper,High,Study,1,1.8,1.71,Completed,0.95,2026-02-14 06:57:11
Attend stakeholder meeting,High,Work,2,0.5,0.48,Completed,0.96,2025-11-10 08:04:06
Learn new framework,High,Study,7,0.83,1.06,Completed,1.28,2026-02-08 17:58:09
Practice coding problems,High,Study,6,6.5,6.72,Completed,1.03,2026-02-03 13:20:00
Create sprint backlog,High,Work,3,0.5,0.59,Completed,1.18,2025-11-01 01:08:22
Organize digital files,High,Personal,3,0.59,0.66,Completed,1.12,2026-03-23 20:38:14
File expense reports,Medium,Personal,6,1.23,1.73,Completed,1.41,2026-01-11 07:51:54
Prepare client proposal,Low,Work,18,6.79,8.69,Completed,1.28,2026-03-09 14:16:37
Prepare sales forecast,Low,Work,8,1.79,3.65,Completed,2.0,2025-12-21 03:20:08
Organize digital files,Low,Personal,19,2.4,3.05,Completed,1.27,2025-10-19 07:27:42
Learn new framework,Low,Study,23,1.07,1.19,Completed,1.11,2026-01-04 05:49:13
Schedule team outing,Low,Personal,20,0.5,0.55,Completed,1.1,2025-12-30 13:54:20
Learn new framework,High,Study,3,0.5,0.6,Completed,1.2,2026-02-23 15:21:11
Debug production issue,Low,Work,23,0.5,0.88,Completed,1.76,2026-03-06 00:00:10
Clean inbox,High,Personal,5,41.32,45.58,Completed,1.1,2025-11-16 17:54:08
Update CRM records,High,Work,4,5.55,5.64,Completed,1.02,2026-01-25 15:30:57
Set up CI pipeline,High,Work,3,1.93,2.44,Completed,1.26,2026-01-19 23:03:27
Morning workout,High,Health,5,0.5,0.43,Completed,0.86,2026-02-13 09:34:37
Stretching routine,High,Health,7,2.58,2.96,Completed,1.15,2025-11-29 06:43:12
Prepare sales forecast,Medium,Work,7,0.5,0.51,Completed,1.02,2025-12-19 23:42:43
Complete online course module,Medium,Study,5,0.5,0.51,Completed,1.02,2025-12-01 15:45:47
Attend stakeholder meeting,Medium,Work,10,1.25,1.42,Completed,1.14,2026-04-10 00:21:00
Conduct code review,Medium,Work,8,2.52,2.55,Completed,1.01,2026-02-16 20:02:53
Draft email campaign,Low,Work,26,1.74,2.36,Completed,1.36,2025-12-10 02:25:38
Complete online course module,Low,Study,15,1.61,2.75,Completed,1.71,2026-02-27 23:11:33
Refactor authentication module,High,Work,5,4.26,3.67,Completed,0.86,2026-02-27 14:12:43
Analyze dataset,Low,Study,20,3.08,4.66,Completed,1.51,2025-12-19 13:21:03
Plan weekly schedule,Low,Personal,27,1.65,1.28,Completed,0.78,2026-03-20 04:13:47
Schedule team outing,Low,Personal,15,1.67,2.17,Completed,1.3,2025-11-30 06:59:42
Prepare client proposal,Low,Work,17,0.5,0.4,Completed,0.8,2026-03-15 19:48:40
Conduct team standup,Low,Work,16,1.53,1.86,Completed,1.22,2026-02-13 12:12:44
Optimize database query,Low,Work,20,2.49,3.16,Completed,1.27,2026-03-07 02:40:02
Write API documentation,Medium,Work,12,0.5,0.55,Completed,1.1,2025-12-24 22:35:27
Complete online course module,Medium,Study,3,1.96,2.18,Completed,1.11,2026-01-02 16:29:35
Write research summary,Medium,Study,4,0.5,0.54,Completed,1.08,2026-02-06 13:30:41
Deploy to staging,Low,Work,12,0.5,0.7,Completed,1.4,2025-11-14 20:47:43
Write API documentation,Low,Work,24,1.54,1.11,Completed,0.72,2025-12-16 01:50:00
Review insurance documents,Low,Personal,22,2.2,2.0,Completed,0.91,2026-01-05 10:42:13
File expense reports,Low,Personal,23,3.97,5.09,Completed,1.28,2026-01-10 10:24:01
Plan commute route,High,Personal,7,0.5,0.46,Completed,0.92,2025-10-24 07:30:35
Create sprint backlog,Low,Work,13,3.52,4.09,Completed,1.16,2026-02-02 06:42:42
Optimize database query,Medium,Work,8,5.07,8.13,Completed,1.6,2026-01-10 23:10:05
Evening run,Medium,Health,11,1.54,1.87,Completed,1.21,2026-01-03 12:15:53
Track daily nutrients,Low,Health,18,6.08,8.48,Completed,1.39,2025-12-07 12:20:10
Optimize database query,High,Work,3,0.5,0.59,Completed,1.18,2026-02-08 12:52:34
Set up CI pipeline,High,Work,5,0.5,0.66,Completed,1.32,2026-01-19 21:10:51
Evening run,High,Health,7,0.5,0.77,Completed,1.54,2026-02-17 16:56:39
Schedule team outing,High,Personal,1,4.17,4.09,Completed,0.98,2026-03-12 07:22:59
Conduct code review,Low,Work,16,1.11,1.74,Completed,1.57,2026-02-06 03:09:28
Update CRM records,Low,Work,11,2.26,3.29,Completed,1.46,2026-03-26 05:10:44
Review lecture notes,Low,Study,30,2.96,3.72,Completed,1.26,2026-03-22 17:19:47
Prepare client proposal,Low,Work,12,3.48,4.1,Completed,1.18,2026-04-06 13:39:22
Practice coding problems,Medium,Study,8,4.31,5.57,Completed,1.29,2026-02-02 23:10:53
Attend stakeholder meeting,Medium,Work,10,3.87,5.41,Completed,1.4,2026-04-05 15:37:35
Debug production issue,High,Work,4,0.5,0.57,Completed,1.14,2026-01-06 17:20:46
Refactor authentication module,High,Work,3,2.44,3.29,Completed,1.35,2026-01-18 13:11:45
Review insurance documents,Medium,Personal,14,0.5,0.79,Completed,1.58,2025-10-18 06:46:02
Draft email campaign,Medium,Work,3,2.57,3.4,Completed,1.32,2026-03-27 23:42:06
Prepare sales forecast,Low,Work,25,3.74,5.6,Completed,1.5,2025-11-06 05:16:37
Schedule team outing,Medium,Personal,8,1.83,2.31,Completed,1.26,2025-10-31 02:19:18
Create sprint backlog,Low,Work,15,0.5,0.65,Completed,1.3,2025-11-05 10:16:27
Write research summary,High,Study,2,1.8,1.97,Completed,1.09,2025-11-26 19:03:26
Update contact list,Low,Personal,15,0.5,0.73,Completed,1.46,2026-01-30 22:32:58
Update CRM records,Low,Work,14,1.69,2.0,Completed,1.18,2026-03-18 08:57:24
Read documentation,Low,Study,22,3.1,2.47,Completed,0.8,2026-01-11 05:25:07
Prepare sales forecast,Low,Work,17,5.66,7.15,Completed,1.26,2026-04-10 03:27:37
Conduct code review,Medium,Work,7,4.78,4.58,Completed,0.96,2025-12-07 22:09:58
File expense reports,Medium,Personal,13,1.15,1.78,Completed,1.55,2025-11-30 00:38:07
Meditation session,Medium,Health,10,2.66,3.76,Completed,1.41,2025-11-06 13:38:10
Debug production issue,Medium,Work,12,1.93,2.14,Completed,1.11,2025-11-14 03:27:41
Update contact list,High,Personal,3,24.87,26.61,Completed,1.07,2026-04-02 12:20:01
