task_name,priority,category,deadline_gap,estimated_time,actual_time,status,completion_rate,created_at
Gym session,Low,Personal,21,4.06,6.97,Completed,1.72,2026-02-28 04:22:31
Sketch wireframe,Low,Health,16,0.89,0.82,Completed,0.92,2026-01-30 14:40:06
Design mockup,High,Personal,8,6.66,6.1,Completed,0.92,2026-02-13 11:51:44
Call client,High,Health,14,3.81,3.72,Completed,0.98,2026-02-11 13:09:46
Review analytics,Low,Work,30,6.31,8.29,Completed,1.31,2026-03-14 04:55:18
Deploy to staging,Low,Health,7,1.54,2.2,Completed,1.43,2026-02-06 01:23:56
Run benchmarks,Medium,Study,15,7.68,11.75,Completed,1.53,2025-12-05 22:33:28
Pay bills,Low,Study,24,6.29,9.97,Completed,1.59,2026-03-05 12:29:26
Submit assignment,Low,Study,8,4.13,4.39,Completed,1.06,2025-11-27 10:18:18
Deploy to staging,Medium,Study,23,5.79,7.9,Completed,1.36,2025-12-01 00:42:55
Design mockup,Low,Health,26,7.5,12.29,Completed,1.64,2025-11-25 08:23:38
Study chapter,Medium,Study,25,6.64,9.59,Completed,1.44,2025-11-25 20:48:20
Review analytics,Low,Health,30,1.09,1.39,Completed,1.28,2025-11-19 06:18:49
Pay bills,High,Study,18,2.02,2.09,Completed,1.03,2026-01-17 14:23:31
Fix login bug,High,Personal,24,1.32,1.58,Completed,1.2,2025-11-16 13:08:04
Deploy to staging,Low,Work,4,2.25,2.78,Completed,1.24,2026-02-16 18:19:45
Research tools,Low,Health,1,6.28,12.27,Completed,1.95,2025-10-31 03:15:25
Morning workout,Medium,Work,25,5.38,8.45,Completed,1.57,2025-12-01 19:56:53
Study chapter,High,Personal,8,5.39,6.29,Completed,1.17,2026-02-17 21:10:15
Update dependencies,Medium,Health,6,7.12,11.02,Completed,1.55,2025-10-07 12:33:15
Study chapter,High,Work,28,7.52,10.25,Completed,1.36,2026-03-19 17:07:03
Morning workout,Medium,Health,4,4.76,7.34,Completed,1.54,2025-12-04 12:36:27
Optimize query,Low,Health,16,4.57,8.48,Completed,1.86,2025-10-26 12:36:55
Weekly review,Medium,Study,4,1.95,2.08,Completed,1.07,2026-02-19 10:27:39
Write API docs,Low,Personal,24,1.9,2.16,Completed,1.14,2025-11-26 18:06:39
Clean inbox,High,Study,21,5.08,6.85,Completed,1.35,2026-03-10 01:15:00
Deploy to staging,High,Study,4,3.51,3.48,Completed,0.99,2025-10-27 18:29:49
Grocery shopping,High,Study,13,0.55,0.56,Completed,1.02,2026-02-23 19:57:32
Write blog post,Medium,Personal,19,4.87,3.94,Completed,0.81,2026-02-04 09:35:01
Water plants,High,Study,15,5.51,5.8,Completed,1.05,2025-12-18 04:34:36
Track expenses,Low,Personal,30,1.38,2.65,Completed,1.92,2025-12-10 20:04:37
Meal prep,High,Study,16,7.68,7.5,Completed,0.98,2026-02-22 15:53:42
Backup photos,Medium,Personal,30,5.76,6.78,Completed,1.18,2026-01-12 20:12:44
Setup CI pipeline,High,Health,20,5.6,7.48,Completed,1.34,2025-10-16 08:44:29
Fix login bug,Low,Personal,3,5.78,10.94,Completed,1.89,2025-10-22 06:07:45
Practice coding,Low,Work,6,4.52,5.09,Completed,1.13,2026-01-09 12:09:56
Optimize query,Low,Health,19,2.04,2.72,Completed,1.33,2026-03-24 00:19:34
Fix login bug,High,Health,17,3.9,4.32,Completed,1.11,2026-01-17 23:12:53
Write report,Low,Personal,24,6.55,4.77,Completed,0.73,2025-11-18 21:03:17
Run benchmarks,Low,Work,14,1.05,1.21,Completed,1.15,2025-10-12 20:20:27
Read documentation,High,Personal,16,7.9,7.24,Completed,0.92,2025-12-18 20:39:22
Schedule interview,Low,Health,21,7.84,15.31,Completed,1.95,2025-12-12 04:18:45
Run benchmarks,Medium,Personal,22,3.32,5.22,Completed,1.57,2026-03-19 06:54:50
Update dependencies,Low,Personal,4,6.95,6.48,Completed,0.93,2026-01-12 19:00:15
Meditate,Low,Health,27,7.84,5.52,Completed,0.7,2025-10-04 21:09:09
Submit assignment,Low,Personal,14,5.89,8.2,Completed,1.39,2026-03-09 08:20:09
Sketch wireframe,Medium,Work,9,3.1,2.95,Completed,0.95,2026-03-19 09:57:50
Send emails,High,Personal,14,6.57,7.93,Completed,1.21,2026-03-21 01:48:09
Water plants,High,Work,20,1.0,0.92,Completed,0.92,2026-01-24 13:04:40
Call client,High,Work,13,6.05,6.77,Completed,1.12,2026-01-13 06:39:40
Sketch wireframe,High,Study,10,4.28,4.35,Completed,1.02,2026-03-27 09:55:04
Meditate,Low,Personal,22,4.98,8.78,Completed,1.76,2025-11-15 11:15:04
Plan sprint,Low,Personal,14,4.41,4.81,Completed,1.09,2025-10-12 07:16:53
Learn new framework,Low,Health,18,5.59,7.51,Completed,1.34,2025-12-06 08:17:15
Schedule interview,Low,Personal,14,2.89,3.56,Completed,1.23,2025-11-27 16:46:48
Attend webinar,Low,Personal,28,4.05,4.02,Completed,0.99,2026-03-15 23:37:48
Plan sprint,Medium,Personal,18,7.36,8.32,Completed,1.13,2025-12-20 08:15:56
Practice coding,Medium,Study,7,2.32,2.47,Completed,1.06,2025-10-15 19:41:35
Schedule interview,High,Work,27,4.52,4.5,Completed,1.0,2025-11-21 14:19:12
Plan sprint,High,Personal,25,1.91,2.28,Completed,1.19,2026-02-07 20:23:04
Write report,Medium,Personal,30,2.07,2.21,Completed,1.07,2026-03-25 23:25:05
Deploy to staging,High,Personal,4,7.72,9.83,Completed,1.27,2026-02-23 22:38:03
Plan sprint,Low,Study,7,5.03,6.11,Completed,1.21,2025-11-15 22:33:41
Create dashboard,Medium,Study,18,3.35,4.42,Completed,1.32,2025-11-29 08:33:01
Deploy to staging,Low,Study,15,7.12,5.9,Completed,0.83,2026-02-17 17:53:22
Submit assignment,High,Personal,14,3.28,3.03,Completed,0.92,2026-03-17 06:07:32
Research tools,High,Study,30,2.46,2.93,Completed,1.19,2026-02-17 06:41:49
Refactor module,High,Health,8,1.97,2.15,Completed,1.09,2026-03-11 06:57:00
Draft proposal,Low,Health,22,5.41,6.16,Completed,1.14,2026-02-25 16:43:00
Sketch wireframe,Medium,Health,26,1.76,1.9,Completed,1.08,2025-10-27 15:27:08
Setup CI pipeline,High,Work,18,7.38,10.3,Completed,1.4,2025-10-11 20:54:34
Research tools,High,Personal,22,7.59,7.02,Completed,0.92,2025-10-01 16:56:56
Optimize query,Low,Health,23,2.24,2.01,Completed,0.9,2025-11-11 22:30:21
Deploy to staging,Medium,Health,21,0.95,1.27,Completed,1.34,2026-01-28 04:23:12
Setup CI pipeline,High,Study,18,0.55,0.61,Completed,1.11,2025-10-03 17:08:52
Water plants,Low,Health,1,7.83,10.59,Completed,1.35,2026-02-12 23:27:26
Organize files,High,Study,4,1.3,1.51,Completed,1.16,2025-11-16 06:11:40
Weekly review,Medium,Personal,13,2.5,2.16,Completed,0.86,2025-12-18 07:25:23
Learn new framework,Low,Work,22,2.19,3.89,Completed,1.78,2025-10-16 02:54:01
Book appointment,High,Work,13,3.54,4.16,Completed,1.18,2025-10-11 08:42:46
Code review,Low,Work,16,1.79,3.22,Completed,1.8,2026-02-02 16:41:02
Pay bills,Low,Health,8,7.39,7.2,Completed,0.97,2026-03-18 00:54:58
Run benchmarks,Medium,Work,3,0.85,1.15,Completed,1.35,2025-11-23 21:49:52
Gym session,High,Personal,11,7.47,6.78,Completed,0.91,2025-11-09 16:37:30
Write API docs,Low,Personal,30,6.66,5.33,Completed,0.8,2025-11-01 00:16:16
Code review,Low,Health,13,6.76,10.68,Completed,1.58,2026-01-13 10:24:06
Review analytics,Low,Study,23,1.55,2.54,Completed,1.64,2026-01-05 17:03:43
Meal prep,High,Health,8,1.23,1.62,Completed,1.32,2025-12-05 14:28:32
Draft proposal,Medium,Personal,9,0.72,1.03,Completed,1.43,2025-12-26 22:54:51
Gym session,Medium,Health,13,4.65,5.33,Completed,1.15,2026-02-09 10:48:21
Update resume,High,Work,10,6.29,8.17,Completed,1.3,2026-02-15 22:31:29
Review analytics,Medium,Health,23,1.66,2.37,Completed,1.43,2025-10-30 10:10:50
Practice coding,Medium,Study,3,3.21,2.58,Completed,0.8,2025-11-29 07:49:43
Plan sprint,Medium,Health,3,1.27,1.21,Completed,0.95,2025-12-26 14:57:41
Meal prep,High,Study,12,0.7,0.82,Completed,1.17,2026-01-24 09:04:06
Sketch wireframe,Medium,Personal,14,0.59,0.66,Completed,1.12,2025-10-16 21:55:36
Grocery shopping,Low,Study,22,4.41,5.27,Completed,1.2,2025-10-27 10:14:23
Research tools,Medium,Study,3,4.2,3.92,Completed,0.93,2025-11-23 01:16:25
Sketch wireframe,Medium,Health,12,6.37,6.38,Completed,1.0,2025-11-17 08:23:28
Write report,Low,Health,15,5.13,4.3,Completed,0.84,2025-11-28 15:00:27
Practice coding,Medium,Study,13,6.81,9.83,Completed,1.44,2025-12-03 10:58:26
Prepare presentation,Medium,Study,28,6.62,8.74,Completed,1.32,2026-01-23 21:16:12
Read documentation,Medium,Health,23,5.02,4.82,Completed,0.96,2025-11-30 11:23:54
Refactor module,Medium,Study,23,2.69,3.51,Completed,1.3,2026-01-20 06:59:25
Write API docs,Medium,Personal,26,2.6,2.9,Completed,1.12,2025-10-22 13:57:14
Send emails,Low,Health,6,7.98,12.66,Completed,1.59,2026-01-15 06:50:46
Update resume,Low,Health,26,2.07,2.23,Completed,1.08,2026-02-12 00:02:41
Backup photos,Low,Personal,21,4.24,4.64,Completed,1.09,2025-11-18 12:46:49
Deploy to staging,Low,Health,13,3.67,2.92,Completed,0.8,2026-01-24 13:46:19
Run benchmarks,Low,Work,30,4.3,7.87,Completed,1.83,2025-12-20 16:37:15
Plan meeting,Medium,Work,26,5.76,7.08,Completed,1.23,2026-02-01 09:20:03
Study chapter,High,Health,12,5.43,5.34,Completed,0.98,2026-01-27 10:29:03
Create dashboard,Medium,Personal,14,7.74,6.85,Completed,0.89,2025-10-19 14:44:17
Submit assignment,Low,Health,18,6.1,8.87,Completed,1.45,2026-01-20 03:59:22
Optimize query,Medium,Personal,25,3.43,4.61,Completed,1.34,2026-02-11 12:52:09
Plan meeting,Medium,Work,16,7.98,7.05,Completed,0.88,2025-12-20 05:47:03
Call client,Low,Health,10,1.56,1.79,Completed,1.15,2026-03-01 18:09:41
Team standup,Medium,Work,15,4.07,5.61,Completed,1.38,2025-12-27 07:45:18
Code review,Medium,Work,23,0.84,0.75,Completed,0.89,2026-03-14 08:39:50
Setup CI pipeline,Low,Personal,30,6.5,12.86,Completed,1.98,2025-11-16 19:54:54
Submit assignment,Low,Health,18,1.7,2.13,Completed,1.25,2025-12-29 04:31:36
Send emails,Low,Personal,21,1.88,2.92,Completed,1.55,2025-12-16 06:44:45
Call client,Medium,Study,13,4.94,3.97,Completed,0.8,2025-11-11 04:13:14
Run benchmarks,Low,Personal,3,6.57,9.53,Completed,1.45,2026-03-04 17:08:57
Draft proposal,Medium,Study,15,2.94,2.62,Completed,0.89,2026-02-07 16:53:36
Database backup,Low,Health,13,3.41,4.99,Completed,1.46,2025-12-07 00:38:40
Track expenses,Low,Work,22,1.79,2.9,Completed,1.62,2025-11-27 05:23:30
Read documentation,Low,Study,4,1.5,1.52,Completed,1.01,2025-10-23 04:13:11
Write API docs,Low,Health,13,1.56,1.94,Completed,1.24,2025-10-27 05:42:23
Learn new framework,Medium,Personal,21,1.89,2.32,Completed,1.23,2026-03-27 22:47:56
Practice coding,Low,Work,10,1.75,1.54,Completed,0.88,2025-11-30 13:14:50
Schedule interview,Medium,Health,16,7.64,6.95,Completed,0.91,2026-03-07 18:22:47
Draft proposal,Medium,Personal,14,5.64,7.72,Completed,1.37,2025-12-25 15:41:50
Study chapter,High,Study,26,4.74,6.07,Completed,1.28,2025-11-26 04:26:09
Review analytics,High,Health,6,4.53,5.85,Completed,1.29,2026-01-18 07:19:13
Run benchmarks,Low,Study,19,4.33,3.67,Completed,0.85,2026-02-27 23:29:12
Run benchmarks,Low,Personal,2,6.67,11.26,Completed,1.69,2025-12-25 04:06:56
Meditate,Medium,Work,27,1.27,1.68,Completed,1.32,2025-11-17 12:46:45
Design mockup,Medium,Personal,28,2.47,3.59,Completed,1.45,2025-12-24 17:24:44
Attend webinar,High,Health,19,6.58,8.19,Completed,1.24,2026-03-16 15:58:33
Fix login bug,High,Study,26,5.12,5.14,Completed,1.0,2025-11-09 15:37:16
Morning workout,Low,Study,18,2.61,2.4,Completed,0.92,2026-02-14 04:19:36
Water plants,Low,Work,28,2.51,3.44,Completed,1.37,2026-03-24 06:13:33
Grocery shopping,High,Personal,26,7.72,8.54,Completed,1.11,2025-10-11 23:29:26
Refactor module,Low,Health,8,7.0,6.23,Completed,0.89,2025-12-02 00:16:40
Schedule interview,Medium,Health,21,1.57,1.59,Completed,1.01,2025-12-19 21:37:37
Optimize query,High,Study,29,5.25,6.74,Completed,1.28,2025-12-17 16:37:08
Team standup,Low,Work,12,7.52,9.71,Completed,1.29,2026-01-03 05:39:01
Database backup,Low,Work,15,1.2,1.83,Completed,1.53,2026-02-12 20:48:01
Grocery shopping,Low,Study,14,3.48,6.17,Completed,1.77,2026-01-04 12:44:13
Draft proposal,Medium,Study,19,3.03,2.74,Completed,0.9,2026-03-14 23:46:31
Weekly review,Low,Work,2,6.22,5.16,Completed,0.83,2026-03-01 16:23:21
Clean inbox,High,Personal,6,7.47,8.37,Completed,1.12,2025-09-30 14:20:54
Grocery shopping,Low,Work,29,7.32,11.31,Completed,1.55,2025-10-31 08:05:13
Learn new framework,Low,Personal,3,3.2,3.79,Completed,1.18,2026-03-24 23:12:46
Submit assignment,High,Health,10,3.47,4.38,Completed,1.26,2026-02-24 02:50:07
Update resume,Low,Personal,4,1.18,0.83,Completed,0.7,2026-01-01 01:16:43
Pay bills,Low,Study,22,2.2,2.81,Completed,1.28,2025-10-02 00:46:21
Update resume,High,Personal,14,7.91,9.86,Completed,1.25,2026-01-01 05:26:34
Write blog post,Medium,Study,26,1.17,1.03,Completed,0.88,2025-11-30 07:31:19
Learn new framework,High,Personal,27,3.37,4.3,Completed,1.28,2025-10-26 07:42:17
Practice coding,High,Study,1,4.48,5.4,Completed,1.21,2025-11-01 08:02:12
Track expenses,Low,Health,24,2.1,1.88,Completed,0.9,2025-12-19 09:54:19
Gym session,High,Health,4,1.15,1.12,Completed,0.97,2025-10-24 09:09:09
Grocery shopping,Medium,Work,11,7.72,11.06,Completed,1.43,2025-11-17 13:57:59
File taxes,High,Work,20,4.65,5.86,Completed,1.26,2025-11-24 19:01:31
Organize files,Low,Health,7,7.07,9.71,Completed,1.37,2026-01-07 09:44:44
Draft proposal,Medium,Health,26,5.35,8.12,Completed,1.52,2025-11-15 22:36:30
Write report,High,Study,21,2.31,2.76,Completed,1.19,2026-01-11 01:11:30
Write blog post,Medium,Personal,28,1.49,2.19,Completed,1.47,2025-12-21 04:33:52
Update resume,Medium,Work,25,7.66,6.58,Completed,0.86,2026-01-22 12:30:38
Update dependencies,Medium,Study,30,2.12,1.8,Completed,0.85,2026-03-02 17:33:22
Update dependencies,Low,Work,25,5.84,7.24,Completed,1.24,2026-02-13 17:52:22
Meditate,Low,Work,20,4.52,4.06,Completed,0.9,2025-10-16 16:47:20
Update dependencies,Low,Work,26,7.41,6.68,Completed,0.9,2025-12-02 21:57:54
Fix login bug,Medium,Personal,24,5.74,8.97,Completed,1.56,2025-11-15 19:19:45
Fix login bug,High,Study,4,7.43,8.37,Completed,1.13,2026-01-26 16:33:46
Attend webinar,Low,Personal,24,6.06,5.63,Completed,0.93,2025-10-02 22:13:16
Setup CI pipeline,Low,Study,16,0.59,1.14,Completed,1.93,2026-01-10 00:34:47
Sketch wireframe,High,Work,24,3.29,4.25,Completed,1.29,2025-11-21 15:43:53
